Species,Subspecies,ID,Sex,Locality,Country,Altitude,Measurer,Bill_TotalCulmen,Bill_FromNostril,Bill_Width,Bill_Depth,Tarsus_Length,Kipp's_Distance,Wing_Chord,Tail_Length,Gape Width
Z. maderaspatanus comorensis,,1959..5.312,M,,,,FCM,10.14,5.83,2.5,2.86,15.49,7.71,51.5,36.5,4.8
Z. m. comorensis,,1959..5.313,M,,,,FCM,10.92,6.49,2.71,2.76,15.88,9.23,53,37,5.55
Z. m. comorensis,,1959..5.315,F,,,,FCM,10.82,6.1,2.55,2.88,14.6,9.37,52,35.5,5.65
Z. m. comorensis,,1959..5.318,F,,,,FCM,10.76,6.45,2.59,2.74,15.42,6.69,52,34.5,5.27
Z. m. anjuanensis,,1959.5.322,F,above M'remani,Anjouan Island,2500',FCM,12.38,6.84,2.72,2.94,16.15,10.05,56,38,5.54
Z. m. anjuanensis,,,F,above M'remani,Anjouan Island,2500',FCM,12.56,6.88,2.73,2.91,16.29,10.08,52.5,35.5,5.47
Z. m. anjuanensis,,1959.5.324,F,Chiroroni,Anjouan Island,0' (sea level),FCM,12.28,6.61,2.76,2.9,16.26,8.94,54,37.5,5.79
Z. m. anjuanensis,,1959.5.319,M,above M'remani,Anjouan Island,2000',FCM,12.6,6.91,2.67,2.92,16.3,8.91,56,41.5,5.88
Z. m. aldabrensis,,1968.43.9,F,Aldabra Island,,0'(sea level),FCM,11.67,6.47,2.51,2.81,16.61,7.94,52.5,41,5.49
Z. m. aldabrensis,,1977.10.52,M,Aldabra Island,,,FCM,10.12,6.03,2.36,2.73,16.53,8.77,51.5,37,4.9
Z. m. aldabrensis,,1977.10.57,M,Aldabra Island,,,FCM,10.15,6.39,2.34,2.57,15.18,9.14,52.5,40,5.35
Z. m. aldabrensis,,1977.10.60,F,Aldabra Island,,,FCM,10.6,5.9,2.46,2.68,16.55,10.12,53.5,40.5,5.04
Z. feae ,,1911.12.23.3963,F,(St Thoma's Island),São Tomé,,FCM,11.08,5.42,2.64,2.56,15.76,9.68,52.5,37.5,4.96
Z. feae ,,1911.12.23.3964,M,(St Thoma's Island),São Tomé,,FCM,11.49,5.18,2.61,2.54,16.15,10.69,55.5,38,5.35
Z. feae ,,1911.12.23.3965,F,(St Thoma's Island),São Tomé,,FCM,10.9,5.68,2.52,2.79,16.16,10.05,53.5,35,5.08
 Z. winnifredae,,1936.12.23.10,F,"Chome, S. Paré forest",,6200',FCM,13.17,7.17,3.1,3.53,15.94,9.84,58.5,46,5.56
 Z. winnifredae,,1936.12.23.11,M,"Chome, S. Paré forest",,6200',FCM,12.91,6.31,2.44,2.96,16.54,9.35,58,45,5.42
 Z. winnifredae,,1936.12.23.11,M,"Chome, S. Paré forest",,6200',FCM,12.94,6.85,2.94,3.2,16.58,9.88,58,44.5,5.48
 Z. winnifredae,,1936.12.23.12,M,"Chome, S. Paré forest",,6200',FCM,13.04,6.73,2.68,3.01,16.2,10.04,57,44,5.17
 Z. winnifredae,,1936.12.23.13,F,"Chome, S. Paré forest",,5700',FCM,12.97,7.06,2.77,3.38,16,9.64,57,26.5,5.53
Z. mbuluensis,,1946.19.95,F,Chyulu Hills,Kenya,6000',FCM,11.49,6.27,2.94,3.39,17.39,10.18,61,48,5.23
Z. mbuluensis,,1946.19.96,M,Chyulu Hills,Kenya,7000',FCM,12.03,6.7,3.51,3.33,18.01,9.84,62,52,5.9
Z. mbuluensis,,1946.19.97,M,Chyulu Hills,Kenya,10000',FCM,12.29,7.06,3.08,3.16,17.38,10.1,61,50,5.23
Z. mbuluensis,,1946.19.98,M,Chyulu Hills,Kenya,560',FCM,10.58,5.42,2.96,3.12,17.55,9.04,61,48,5.52
Z. mbuluensis,,1946.19.99,M,Chyulu Hills,Kenya,6000-7000',FCM,12.6,6.85,2.84,2.9,17.84,10.17,61,49,5.58
Z. eurycricotus,,1935.10.11.94,M,"Mt. Meru (above Arusha), Tanganika Terr.",,5500',FCM,12.5,7.06,2.8,3.32,18.42,9.93,60.5,49.5,5.41
Z. eurycricotus,,1935.10.11.94,M,"Mt. Meru (above Arusha), Tanganika Terr.",,5500',FCM,12.07,7.03,3.18,3.35,19.7,9.47,61,49.5,5.29
Z. eurycricotus,,1935.10.11.96,M,"Mt. Meru (above Arusha), Tanganika Terr.",,5500',FCM,12.63,6.75,2.75,2.91,20.4,10.41,58.5,48.5,5.13
Z. eurycricotus,,1935.10.11.97,F,"Mt. Meru (above Arusha), Tanganika Terr.",,5500',FCM,11.73,6.68,2.7,2.96,17.53,9.45,58,47.5,5.21
Z. eurycricotus,,1933.7.13.111,F,Mt. Meru (Ngare Olmotonyi),,7000',FCM,12.86,6.58,2.82,3,17.52,9.19,59,47,4.99
